Data;IPA-EP-DI - geral - índice (ago. 1994 = 100) - - - Fundação Getulio Vargas, Conjuntura Econômica - IGP (FGV/Conj. Econ. - IGP) - IGP12_IPADI12;
2015.05;612,433;
2015.06;615,083;
2015.07;618,84;
2015.08;621,555;
2015.09;634,113;
2015.10;649,18;
2015.11;658,328;
2015.12;660,526;
2016.01;671,262;
2016.02;676,9;
2016.03;679,429;
2016.04;681,39;
2016.05;691,536;
2016.06;706,058;
2016.07;700,358;
2016.08;703,856;
2016.09;703,646;
2016.10;703,936;
2016.11;703,889;
2016.12;711,606;
2017.01;714,02;
2017.02;713,136;
2017.03;707,554;
2017.04;693,689;
2017.05;686,044;
2017.06;675,52;
2017.07;671,013;
2017.08;672,755;
2017.09;679,306;
2017.10;679,102;
2017.11;686,333;
2017.12;693,656;
2018.01;697,677;
2018.02;698,745;
2018.03;704,131;
2018.04;713,036;
2018.05;729,825;
2018.06;742,027;
2018.07;745,887;
2018.08;753,275;
2018.09;772,436;
2018.10;773,767;
2018.11;760,599;
2018.12;754,367;
2019.01;752,945;
2019.02;766,402;
2019.03;766,783;
